UTC,Longitude (deg),Latitude (deg),Elevation (m),TB X (K),TB K (K),TB Ka (K),Antenna Longitude (deg),Antenna Latitude (deg),Antenna Altitude (m),Antenna Yaw (deg),Antenna Pitch (deg),Antenna Look Angle (deg)
20200211-18:35:43.151320,-108.169406,39.019492,3087,253.7,245.7,235,-108.055132,38.942785,4521.7,2.32,4.16,44.9
20200211-18:35:43.351320,-108.169313,39.019399,3087,253.4,247.2,234.3,-108.055135,38.942787,4521.7,2.34,4.16,44.9
20200211-18:35:43.451320,-108.169313,39.019306,3088,253.5,245.7,234.9,-108.055137,38.942789,4521.7,2.33,4.16,44.9
20200211-18:35:43.551320,-108.169221,39.019306,3088,252.1,245.5,234.2,-108.05514,38.942792,4521.7,2.32,4.16,44.9
20200211-18:35:43.651340,-108.169221,39.019214,3088,254.1,245.8,234.7,-108.055142,38.942794,4521.7,2.31,4.16,44.9
20200211-18:35:43.751340,-108.169128,39.019214,3089,251.4,243.3,233.9,-108.055145,38.942796,4521.7,2.3,4.16,44.9
20200211-18:35:43.851340,-108.169128,39.019121,3089,253,244.7,234.2,-108.055148,38.942798,4521.7,2.3,4.16,44.9
20200211-18:35:43.951340,-108.169036,39.019121,3089,254.6,245.9,233.9,-108.05515,38.9428,4521.7,2.31,4.16,44.9
20200211-18:35:44.051340,-108.169036,39.019029,3090,253.1,246.9,233.8,-108.055153,38.942803,4521.7,2.32,4.16,44.9
20200211-18:35:44.151340,-108.168943,39.019029,3090,254.1,245.7,233.6,-108.055155,38.942805,4521.7,2.32,4.16,44.9
20200211-18:35:44.251340,-108.168943,39.018936,3091,253.3,246.9,232.6,-108.055158,38.942807,4521.7,2.32,4.16,44.9
20200211-18:35:44.351360,-108.16885,39.018936,3091,253.1,245.9,232,-108.05516,38.942809,4521.7,2.3,4.16,44.9
20200211-18:35:44.451360,-108.16885,39.018843,3091,252.3,244.5,229.6,-108.055163,38.942812,4521.7,2.3,4.16,44.9
20200211-18:35:44.551360,-108.168758,39.018843,3092,253.5,244.5,229,-108.055165,38.942814,4521.7,2.31,4.16,44.9
20200211-18:35:44.651360,-108.168758,39.018751,3092,252.9,242.6,228,-108.055168,38.942816,4521.7,2.32,4.16,44.9
20200211-18:35:44.751360,-108.168665,39.018751,3092,252.9,243.8,226.5,-108.05517,38.942818,4521.7,2.34,4.16,44.9
20200211-18:35:44.851360,-108.168573,39.018658,3092,253.2,243.1,225,-108.055173,38.94282,4521.7,2.34,4.16,44.9
20200211-18:35:44.951380,-108.168573,39.018658,3092,253.8,242.2,223.4,-108.055176,38.942823,4521.7,2.33,4.16,44.9
20200211-18:35:45.051360,-108.16848,39.018566,3093,252.2,240.6,223.2,-108.055178,38.942825,4521.7,2.32,4.16,44.9
20200211-18:35:45.151380,-108.16848,39.018473,3093,251.3,241.3,222.6,-108.055181,38.942827,4521.7,2.3,4.16,44.9
20200211-18:35:45.251380,-108.168387,39.018473,3093,253.8,242.3,220.8,-108.055183,38.942829,4521.7,2.3,4.16,44.9
20200211-18:35:45.351380,-108.168387,39.01838,3094,252.7,240,220.7,-108.055186,38.942832,4521.7,2.3,4.16,44.9
20200211-18:35:45.451380,-108.168295,39.01838,3094,254,241,219.3,-108.055188,38.942834,4521.7,2.32,4.16,44.9
20200211-18:35:45.551380,-108.168295,39.018288,3094,252.6,240.6,219.4,-108.055191,38.942836,4521.7,2.34,4.16,44.9
20200211-18:35:45.651380,-108.168202,39.018288,3094,252,239.5,218.1,-108.055193,38.942838,4521.7,2.33,4.16,44.9
20200211-18:35:45.751380,-108.168202,39.018195,3094,251.2,240.5,216.3,-108.055196,38.942841,4521.7,2.33,4.16,44.9
20200211-18:35:45.851380,-108.16811,39.018195,3094,250.3,238.6,214.9,-108.055198,38.942843,4521.7,2.31,4.16,44.9
20200211-18:35:45.951400,-108.16811,39.018103,3094,250.7,239.2,214.1,-108.055201,38.942845,4521.7,2.3,4.16,44.9
20200211-18:35:46.051400,-108.168017,39.018103,3094,249.9,238.1,214.2,-108.055203,38.942847,4521.7,2.32,4.16,44.9
20200211-18:35:46.151400,-108.167924,39.018103,3095,249.5,237.3,213.3,-108.055206,38.942849,4521.7,2.33,4.17,44.9
20200211-18:35:46.251400,-108.167924,39.01801,3095,250.1,239.5,212.1,-108.055209,38.942852,4521.7,2.34,4.16,44.9
20200211-18:35:46.351400,-108.167832,39.01801,3095,250.1,238.7,211,-108.055211,38.942854,4521.7,2.35,4.17,44.9
20200211-18:35:46.451400,-108.167832,39.017917,3095,249.4,238,210.3,-108.055214,38.942856,4521.7,2.33,4.16,44.9
20200211-18:35:46.551420,-108.167739,39.017917,3095,247.3,237.5,211.8,-108.055216,38.942858,4521.6,2.31,4.16,44.9
20200211-18:35:46.651420,-108.167739,39.017825,3095,249.9,239.9,211.2,-108.055219,38.942861,4521.6,2.3,4.17,44.9
20200211-18:35:46.751420,-108.167647,39.017825,3095,252.4,236.7,211.1,-108.055221,38.942863,4521.6,2.31,4.16,44.9
20200211-18:35:46.851420,-108.167647,39.017732,3094,250.1,236.5,211,-108.055224,38.942865,4521.6,2.32,4.17,44.9
20200211-18:35:46.951420,-108.167554,39.017732,3094,251,234.9,210.2,-108.055226,38.942867,4521.6,2.33,4.17,45
20200211-18:35:47.051420,-108.167461,39.01764,3093,250.1,236.2,210.4,-108.055229,38.942869,4521.6,2.34,4.17,45
20200211-18:35:47.151420,-108.167461,39.017547,3093,249.7,237.5,211,-108.055231,38.942872,4521.6,2.33,4.17,45
20200211-18:35:47.251420,-108.167369,39.017547,3093,250.8,236.9,211.3,-108.055234,38.942874,4521.6,2.32,4.17,45
20200211-18:35:47.351420,-108.167369,39.017455,3093,250.4,237,211.9,-108.055237,38.942876,4521.6,2.31,4.17,45
20200211-18:35:47.551440,-108.167184,39.017455,3092,248.6,236.8,212,-108.055239,38.942878,4521.6,2.31,4.17,45
20200211-18:35:47.651440,-108.167184,39.017362,3092,250.1,236.5,212.1,-108.055242,38.942881,4521.6,2.33,4.17,45
20200211-18:35:47.751440,-108.167091,39.017362,3091,249.2,236.8,212.9,-108.055244,38.942883,4521.6,2.34,4.17,45
20200211-18:35:47.851440,-108.167091,39.017269,3091,249.2,236.6,212.5,-108.055247,38.942885,4521.6,2.36,4.17,45
20200211-18:35:47.951440,-108.166998,39.017177,3091,248.2,235.7,213.3,-108.055249,38.942887,4521.6,2.34,4.17,45
20200211-18:35:48.051460,-108.166906,39.017177,3090,249.6,237.8,213.5,-108.055252,38.942889,4521.6,2.32,4.17,45
20200211-18:35:48.151460,-108.166906,39.017084,3090,250.1,238.7,214.1,-108.055254,38.942892,4521.6,2.31,4.17,45
20200211-18:35:48.251460,-108.166813,39.017084,3090,249.3,237.3,214.4,-108.055257,38.942894,4521.6,2.3,4.17,45
20200211-18:35:48.351460,-108.166813,39.016992,3090,250.8,236.2,216.1,-108.055259,38.942896,4521.6,2.32,4.17,45
20200211-18:35:48.451460,-108.166721,39.016992,3090,249.8,237.8,216.5,-108.055262,38.942898,4521.6,2.34,4.17,45
20200211-18:35:48.551460,-108.166628,39.016992,3089,251.2,238,217.5,-108.055264,38.942901,4521.6,2.35,4.17,45
20200211-18:35:48.651460,-108.166628,39.016899,3089,250.1,240.2,218.7,-108.055267,38.942903,4521.6,2.34,4.17,45
20200211-18:35:48.751480,-108.166535,39.016899,3089,251.2,239.4,220.1,-108.05527,38.942905,4521.6,2.32,4.17,45
20200211-18:35:48.851480,-108.166535,39.016806,3089,251.9,239.4,220.8,-108.055272,38.942907,4521.6,2.31,4.17,45
20200211-18:35:48.951480,-108.166443,39.016806,3089,251.1,239.8,221.7,-108.055275,38.942909,4521.6,2.3,4.17,45
20200211-18:35:49.051460,-108.166443,39.016714,3089,252,241.7,222.4,-108.055277,38.942912,4521.6,2.31,4.17,45
20200211-18:35:49.151480,-108.16635,39.016714,3090,253.1,240.5,224.4,-108.05528,38.942914,4521.6,2.33,4.17,45
20200211-18:35:49.251480,-108.16635,39.016621,3089,252.9,239.8,225.4,-108.055282,38.942916,4521.6,2.34,4.17,45
20200211-18:35:49.351480,-108.166258,39.016621,3090,252.1,241.3,226.6,-108.055285,38.942918,4521.6,2.35,4.17,45
20200211-18:35:49.451480,-108.166258,39.016529,3090,251.9,241.1,228.8,-108.055287,38.942921,4521.6,2.33,4.18,45
20200211-18:35:49.551480,-108.166165,39.016529,3090,252.9,241.9,230.6,-108.05529,38.942923,4521.6,2.32,4.17,45
20200211-18:35:49.651500,-108.166165,39.016436,3090,253,242.7,232.9,-108.055292,38.942925,4521.6,2.31,4.17,45
20200211-18:35:49.751480,-108.166073,39.016436,3090,250.8,246.2,235.1,-108.055295,38.942927,4521.6,2.31,4.17,45
20200211-18:35:49.851500,-108.166073,39.016343,3090,253.5,243.5,237.6,-108.055298,38.942929,4521.6,2.33,4.18,45
20200211-18:35:49.951500,-108.16598,39.016343,3090,250.8,244.5,239.9,-108.0553,38.942932,4521.6,2.34,4.18,45
20200211-18:35:50.051500,-108.16598,39.016251,3090,250.5,244.8,241.9,-108.055303,38.942934,4521.6,2.34,4.18,45
20200211-18:35:50.151500,-108.165887,39.016251,3090,252.5,244.7,243.8,-108.055305,38.942936,4521.6,2.33,4.18,45
20200211-18:35:50.251500,-108.165887,39.016158,3090,253.1,244.8,246.3,-108.055308,38.942938,4521.6,2.32,4.18,45
20200211-18:35:50.351520,-108.165795,39.016158,3091,254.3,246.8,247.8,-108.05531,38.942941,4521.6,2.31,4.18,45
20200211-18:35:50.451520,-108.165795,39.016066,3091,252.4,247.2,248,-108.055313,38.942943,4521.6,2.32,4.18,45
20200211-18:35:50.551520,-108.165702,39.016066,3091,252.4,242.8,247.7,-108.055315,38.942945,4521.6,2.33,4.18,45
20200211-18:35:50.651520,-108.165702,39.016066,3091,250.1,246.6,246.4,-108.055318,38.942947,4521.6,2.34,4.18,45
20200211-18:35:50.751520,-108.16561,39.015973,3091,251.3,246.1,245.4,-108.05532,38.942949,4521.6,2.34,4.18,45
20200211-18:35:50.851540,-108.16561,39.015973,3091,253,243.5,244.5,-108.055323,38.942952,4521.6,2.35,4.18,45
20200211-18:35:50.951520,-108.165517,39.01588,3091,253.3,243.7,243.4,-108.055325,38.942954,4521.6,2.33,4.18,45
20200211-18:35:51.051520,-108.165517,39.01588,3091,253.1,244,242.4,-108.055328,38.942956,4521.6,2.32,4.18,45
20200211-18:35:51.151520,-108.165424,39.015788,3092,249,244.6,240.7,-108.055331,38.942958,4521.6,2.32,4.18,45
20200211-18:35:51.251540,-108.165424,39.015788,3092,251.7,242.9,236.7,-108.055333,38.942961,4521.6,2.32,4.18,45
20200211-18:35:51.351540,-108.165332,39.015695,3092,252.9,243.2,234.1,-108.055336,38.942963,4521.6,2.33,4.18,45
20200211-18:35:51.451540,-108.165332,39.015695,3092,252.5,244,233.5,-108.055338,38.942965,4521.6,2.33,4.18,45
20200211-18:35:51.551540,-108.165332,39.015603,3093,250.1,241.2,231,-108.055341,38.942967,4521.6,2.33,4.18,45
20200211-18:35:51.651540,-108.165239,39.015603,3093,251.8,241,228.7,-108.055343,38.942969,4521.6,2.32,4.18,45
20200211-18:35:51.751540,-108.165239,39.01551,3093,252.1,243.2,227,-108.055346,38.942972,4521.6,2.31,4.18,45
20200211-18:35:51.851560,-108.165147,39.01551,3093,251.4,241.4,225.5,-108.055348,38.942974,4521.5,2.31,4.18,45
20200211-18:35:51.951560,-108.165147,39.015417,3094,251.3,239.3,223.1,-108.055351,38.942976,4521.5,2.32,4.19,45
20200211-18:35:52.051560,-108.165054,39.015417,3094,251.4,242,221.4,-108.055353,38.942978,4521.5,2.33,4.19,45
20200211-18:35:52.151560,-108.165054,39.015325,3094,250.3,241.2,219.8,-108.055356,38.942981,4521.5,2.34,4.18,45
20200211-18:35:52.251560,-108.164961,39.015325,3094,251.9,239.9,217.4,-108.055359,38.942983,4521.5,2.36,4.19,45
20200211-18:35:52.351560,-108.164869,39.015325,3094,252.5,240.2,216,-108.055361,38.942985,4521.5,2.34,4.19,45
20200211-18:35:52.451560,-108.164869,39.015232,3094,253.3,240.9,215.3,-108.055364,38.942987,4521.5,2.33,4.19,45
20200211-18:35:52.551580,-108.164776,39.015232,3094,253.4,239.7,214.9,-108.055366,38.942989,4521.5,2.32,4.19,45
20200211-18:35:52.651580,-108.164776,39.01514,3094,253.7,238.9,214.1,-108.055369,38.942992,4521.5,2.31,4.19,45
20200211-18:35:52.751580,-108.164684,39.01514,3094,254.1,238.9,214.4,-108.055371,38.942994,4521.5,2.32,4.19,45
20200211-18:35:52.851580,-108.164684,39.015047,3094,252,238.7,214.2,-108.055374,38.942996,4521.5,2.33,4.19,45
20200211-18:35:52.951580,-108.164591,39.015047,3094,253.9,237.5,214.3,-108.055376,38.942998,4521.5,2.34,4.19,45
20200211-18:35:53.051580,-108.164591,39.014954,3094,252.9,241,214.8,-108.055379,38.943001,4521.5,2.33,4.19,45
20200211-18:35:53.151580,-108.164498,39.014954,3094,254.8,241.9,214.4,-108.055381,38.943003,4521.5,2.33,4.19,45
20200211-18:35:53.251580,-108.164498,39.014862,3094,253.8,237.3,214.7,-108.055384,38.943005,4521.5,2.32,4.19,45
20200211-18:35:53.351580,-108.164406,39.014862,3094,253.8,239.9,216.4,-108.055386,38.943007,4521.5,2.31,4.19,45
20200211-18:35:53.451600,-108.164406,39.014769,3094,252.4,238.7,217,-108.055389,38.94301,4521.5,2.32,4.19,45
20200211-18:35:53.551600,-108.164313,39.014769,3094,252.9,238,217.3,-108.055392,38.943012,4521.5,2.33,4.19,45
20200211-18:35:53.651600,-108.164221,39.014677,3094,252.5,238.9,218.1,-108.055394,38.943014,4521.5,2.35,4.19,45
20200211-18:35:53.751600,-108.164221,39.014677,3094,250.8,238.5,218.2,-108.055397,38.943016,4521.5,2.34,4.19,45
20200211-18:35:53.851600,-108.164128,39.014584,3095,252.4,239.7,219.2,-108.055399,38.943018,4521.5,2.34,4.19,45
20200211-18:35:53.951620,-108.164128,39.014584,3095,253.3,239.2,220.2,-108.055402,38.943021,4521.5,2.32,4.19,45
20200211-18:35:54.051620,-108.164035,39.014491,3095,252.7,237.6,220.6,-108.055404,38.943023,4521.5,2.32,4.19,45
20200211-18:35:54.151620,-108.164035,39.014491,3095,251.2,240.2,221.9,-108.055407,38.943025,4521.5,2.32,4.19,45
20200211-18:35:54.251620,-108.163943,39.014399,3094,253.1,240.5,222.3,-108.055409,38.943027,4521.5,2.33,4.19,45
20200211-18:35:54.351620,-108.163943,39.014399,3094,251.7,240,223.9,-108.055412,38.94303,4521.5,2.34,4.2,45
20200211-18:35:54.451620,-108.16385,39.014399,3094,250.4,241.2,226.6,-108.055414,38.943032,4521.5,2.34,4.2,45
20200211-18:35:54.551620,-108.163758,39.014306,3094,253.3,241.4,228.1,-108.055417,38.943034,4521.5,2.34,4.2,45
20200211-18:35:54.651640,-108.163758,39.014306,3094,252.7,241.6,229.4,-108.05542,38.943036,4521.5,2.32,4.19,45
20200211-18:35:54.751620,-108.163665,39.014214,3094,249.9,240.6,230.6,-108.055422,38.943038,4521.5,2.32,4.2,45
20200211-18:35:54.851620,-108.163665,39.014214,3094,250.8,241,232.6,-108.055425,38.943041,4521.5,2.31,4.2,45
20200211-18:35:54.951640,-108.163572,39.014121,3093,253.3,243.8,233.8,-108.055427,38.943043,4521.5,2.32,4.2,45
20200211-18:35:55.051640,-108.16348,39.014121,3094,251.2,241.4,238,-108.05543,38.943045,4521.5,2.34,4.2,45
20200211-18:35:55.151640,-108.16348,39.014028,3093,254.1,242.3,238,-108.055432,38.943047,4521.5,2.35,4.2,45
20200211-18:35:55.251640,-108.163387,39.014028,3094,254.1,242,239,-108.055435,38.94305,4521.5,2.35,4.2,45
20200211-18:35:55.351640,-108.163387,39.013936,3093,251.2,243.2,239.7,-108.055437,38.943052,4521.5,2.33,4.2,45
20200211-18:35:55.451640,-108.163295,39.013936,3093,252.5,244.2,240.7,-108.05544,38.943054,4521.5,2.32,4.2,45
20200211-18:35:55.551660,-108.163295,39.013843,3093,254.7,242.1,241.5,-108.055442,38.943056,4521.5,2.31,4.2,45
20200211-18:35:55.651640,-108.163202,39.013843,3093,253.1,241.6,240.2,-108.055445,38.943058,4521.5,2.33,4.2,45
20200211-18:35:55.751660,-108.163202,39.013751,3093,252.6,243,240,-108.055447,38.943061,4521.5,2.34,4.21,45
20200211-18:35:55.851660,-108.163109,39.013751,3093,252.1,243.4,239.7,-108.05545,38.943063,4521.5,2.35,4.21,45
20200211-18:35:55.951660,-108.163017,39.013751,3093,252.7,242.9,236.3,-108.055453,38.943065,4521.5,2.35,4.2,45
20200211-18:35:56.051660,-108.163017,39.013658,3093,251,239.4,234.4,-108.055455,38.943067,4521.5,2.33,4.2,45
20200211-18:35:56.151660,-108.162924,39.013658,3093,251,240.9,232.8,-108.055458,38.94307,4521.5,2.32,4.2,45
20200211-18:35:56.251680,-108.162924,39.013565,3093,253.9,239.6,230.3,-108.05546,38.943072,4521.5,2.31,4.21,45
20200211-18:35:56.351680,-108.162832,39.013565,3093,251.2,241.4,227.8,-108.055463,38.943074,4521.5,2.31,4.21,45
20200211-18:35:56.451680,-108.162739,39.013473,3093,251.3,239.9,225.1,-108.055465,38.943076,4521.5,2.34,4.21,45
20200211-18:35:56.551680,-108.162739,39.013473,3093,251.1,241.7,223.4,-108.055468,38.943078,4521.5,2.35,4.21,45
20200211-18:35:56.651680,-108.162646,39.01338,3093,250.5,238.3,221.2,-108.05547,38.943081,4521.5,2.36,4.21,45
20200211-18:35:56.751680,-108.162554,39.01338,3093,251.2,241,219.6,-108.055473,38.943083,4521.5,2.35,4.21,45
20200211-18:35:56.851680,-108.162554,39.013288,3093,249.1,240.4,218.4,-108.055475,38.943085,4521.4,2.33,4.21,45
20200211-18:35:56.951680,-108.162461,39.013288,3093,249.4,238,216.6,-108.055478,38.943087,4521.4,2.31,4.21,45
20200211-18:35:57.051680,-108.162461,39.013195,3092,251.1,237.4,214.8,-108.05548,38.94309,4521.4,2.31,4.21,45
20200211-18:35:57.151700,-108.162369,39.013195,3092,250,238.9,214.9,-108.055483,38.943092,4521.4,2.33,4.22,45
20200211-18:35:57.251700,-108.162369,39.013102,3091,248.9,237.4,213.2,-108.055486,38.943094,4521.4,2.34,4.22,45
20200211-18:35:57.351700,-108.162276,39.013102,3092,250.5,235.8,212.5,-108.055488,38.943096,4521.4,2.35,4.22,45
20200211-18:35:57.451700,-108.162183,39.01301,3091,249.3,235.3,212.8,-108.055491,38.943098,4521.4,2.34,4.22,45
20200211-18:35:57.551700,-108.162091,39.01301,3091,250.1,237.8,212.1,-108.055493,38.943101,4521.4,2.33,4.22,45
20200211-18:35:57.651700,-108.162091,39.012917,3090,249.9,235.7,212.5,-108.055496,38.943103,4521.4,2.32,4.22,45
20200211-18:35:57.751700,-108.161998,39.012917,3090,250.5,236.4,212.2,-108.055498,38.943105,4521.4,2.32,4.22,45
20200211-18:35:57.851720,-108.161998,39.012825,3090,248.4,237.3,211.6,-108.055501,38.943107,4521.4,2.34,4.22,45
20200211-18:35:57.951720,-108.161906,39.012825,3090,251.1,235.6,211.9,-108.055503,38.94311,4521.4,2.34,4.22,45
20200211-18:35:58.051720,-108.161813,39.012825,3089,252,237.6,211.7,-108.055506,38.943112,4521.4,2.35,4.22,45
20200211-18:35:58.151720,-108.161813,39.012732,3089,249.4,235.4,211.6,-108.055508,38.943114,4521.4,2.35,4.22,45
20200211-18:35:58.251720,-108.16172,39.012639,3088,251.1,238.1,212.1,-108.055511,38.943116,4521.4,2.34,4.22,45
20200211-18:35:58.351720,-108.161628,39.012639,3087,250.4,236.6,212.4,-108.055514,38.943118,4521.4,2.33,4.22,45
20200211-18:35:58.451740,-108.161535,39.012639,3087,251.7,236.6,213.5,-108.055516,38.943121,4521.4,2.32,4.22,45
20200211-18:35:58.551720,-108.161535,39.012547,3086,251.3,238.2,211.5,-108.055519,38.943123,4521.4,2.32,4.23,45
20200211-18:35:58.651740,-108.161443,39.012547,3086,252.1,236.8,210.5,-108.055521,38.943125,4521.4,2.33,4.23,45
20200211-18:35:58.751740,-108.161443,39.012454,3086,250.8,237.2,210.5,-108.055524,38.943127,4521.4,2.34,4.23,45
20200211-18:35:58.851740,-108.16135,39.012454,3085,253.5,237,210.6,-108.055526,38.94313,4521.4,2.34,4.23,45
20200211-18:35:58.951740,-108.161257,39.012362,3085,250,236.4,211.3,-108.055529,38.943132,4521.4,2.33,4.23,45
20200211-18:35:59.051740,-108.161257,39.012362,3085,250.8,235,210.9,-108.055531,38.943134,4521.4,2.33,4.23,45
20200211-18:35:59.151740,-108.161165,39.012269,3084,251,237,210.9,-108.055534,38.943136,4521.4,2.31,4.23,45
20200211-18:35:59.251740,-108.161072,39.012269,3084,252.2,235.1,211.7,-108.055536,38.943138,4521.4,2.32,4.23,45
20200211-18:35:59.351760,-108.161072,39.012176,3084,252,236.7,211.9,-108.055539,38.943141,4521.4,2.34,4.23,45
20200211-18:35:59.451760,-108.16098,39.012176,3084,251,236.6,211.7,-108.055541,38.943143,4521.4,2.35,4.24,45
20200211-18:35:59.551760,-108.16098,39.012084,3084,251.2,237.6,211.7,-108.055544,38.943145,4521.4,2.36,4.24,45
20200211-18:35:59.651760,-108.160887,39.012084,3083,250.6,237.3,212.6,-108.055547,38.943147,4521.4,2.35,4.24,45
20200211-18:35:59.751760,-108.160887,39.011991,3083,252.3,238.6,212.9,-108.055549,38.94315,4521.4,2.33,4.23,45
20200211-18:35:59.851760,-108.160794,39.011991,3083,250.6,236.5,212.9,-108.055552,38.943152,4521.4,2.32,4.24,45
20200211-18:35:59.951780,-108.160702,39.011991,3083,251,238.8,212.9,-108.055554,38.943154,4521.4,2.32,4.24,45
20200211-18:36:00.051780,-108.160702,39.011899,3082,254.1,237.8,213.8,-108.055557,38.943156,4521.4,2.33,4.24,45
20200211-18:36:00.151780,-108.160609,39.011899,3082,250,237.9,213.7,-108.055559,38.943158,4521.4,2.34,4.24,45
20200211-18:36:00.251780,-108.160517,39.011806,3083,251.5,240.6,215.1,-108.055562,38.943161,4521.4,2.34,4.24,45
20200211-18:36:00.351780,-108.160517,39.011806,3083,251.8,237.8,215.3,-108.055564,38.943163,4521.4,2.35,4.24,45
20200211-18:36:00.451780,-108.160424,39.011714,3083,250.8,239.1,216.2,-108.055567,38.943165,4521.4,2.33,4.24,45
20200211-18:36:00.551780,-108.160424,39.011714,3083,251.5,237.4,216.1,-108.055569,38.943167,4521.4,2.34,4.24,45
20200211-18:36:00.651780,-108.160331,39.011621,3083,252.7,239.6,217.3,-108.055572,38.94317,4521.4,2.32,4.24,45
20200211-18:36:00.751780,-108.160239,39.011621,3083,252.3,240.7,217.2,-108.055575,38.943172,4521.4,2.33,4.25,45
20200211-18:36:00.851780,-108.160239,39.011528,3083,253.8,240.4,219.2,-108.055577,38.943174,4521.4,2.34,4.25,45
20200211-18:36:00.951800,-108.160146,39.011528,3084,252.4,238.8,220.4,-108.05558,38.943176,4521.4,2.35,4.25,45
20200211-18:36:01.051800,-108.160146,39.011436,3084,252.5,241,220.8,-108.055582,38.943178,4521.4,2.36,4.25,45
20200211-18:36:01.151800,-108.160054,39.011436,3085,252.7,238.4,221.5,-108.055585,38.943181,4521.4,2.34,4.25,45
20200211-18:36:01.251800,-108.160054,39.011343,3085,250.9,237.5,223,-108.055587,38.943183,4521.4,2.34,4.25,45
20200211-18:36:01.351800,-108.159961,39.011343,3085,250.6,238.3,223.6,-108.05559,38.943185,4521.4,2.32,4.25,45
20200211-18:36:01.451800,-108.159961,39.011251,3085,250.4,239.8,224.5,-108.055592,38.943187,4521.4,2.33,4.25,45
20200211-18:36:01.551820,-108.159869,39.011251,3086,253.7,240.9,225.7,-108.055595,38.94319,4521.4,2.33,4.25,45
20200211-18:36:01.651820,-108.159869,39.011158,3086,250.2,241.3,227.1,-108.055597,38.943192,4521.4,2.33,4.25,45
20200211-18:36:01.751820,-108.159776,39.011158,3086,250.3,240.2,227.5,-108.0556,38.943194,4521.4,2.34,4.26,45.1
20200211-18:36:01.851820,-108.159683,39.011158,3087,251.6,240.8,227.8,-108.055602,38.943196,4521.4,2.32,4.26,45.1
20200211-18:36:01.951820,-108.159683,39.011065,3087,252.2,243.3,228.7,-108.055605,38.943198,4521.4,2.33,4.26,45.1
20200211-18:36:02.051820,-108.159591,39.011065,3087,250.8,242.7,229.5,-108.055608,38.943201,4521.3,2.32,4.26,45.1
20200211-18:36:02.151840,-108.159591,39.010973,3087,250.2,239.6,230.7,-108.05561,38.943203,4521.3,2.33,4.26,45.1
20200211-18:36:02.251840,-108.159498,39.010973,3087,251.6,241.9,231.3,-108.055613,38.943205,4521.3,2.34,4.26,45.1
20200211-18:36:02.351820,-108.159406,39.01088,3087,253.3,241.9,232.2,-108.055615,38.943207,4521.3,2.34,4.26,45.1
20200211-18:36:02.451840,-108.159406,39.010788,3087,251.9,242.8,234.2,-108.055618,38.94321,4521.3,2.37,4.26,45.1
20200211-18:36:02.551840,-108.159313,39.010788,3087,252.3,243.3,233.6,-108.05562,38.943212,4521.3,2.36,4.26,45.1
20200211-18:36:02.651840,-108.15922,39.010788,3087,254.1,244.8,234.5,-108.055623,38.943214,4521.3,2.35,4.26,45.1
20200211-18:36:02.751840,-108.15922,39.010695,3087,254.5,244.7,234.4,-108.055625,38.943216,4521.3,2.33,4.26,45.1
20200211-18:36:02.851840,-108.159128,39.010695,3087,256.7,243.6,235,-108.055628,38.943218,4521.3,2.33,4.27,45.1
20200211-18:36:02.951840,-108.159128,39.010602,3087,254.3,243,234.9,-108.05563,38.943221,4521.3,2.33,4.27,45.1
20200211-18:36:03.051860,-108.159035,39.010602,3087,256.3,244.8,233.3,-108.055633,38.943223,4521.3,2.33,4.27,45.1
20200211-18:36:03.151860,-108.158943,39.01051,3087,254.5,244,233.2,-108.055635,38.943225,4521.3,2.34,4.27,45.1
20200211-18:36:03.251860,-108.158943,39.01051,3087,256.9,245.3,232.6,-108.055638,38.943227,4521.3,2.34,4.27,45.1
20200211-18:36:03.351860,-108.15885,39.010417,3086,256.8,243.7,230.7,-108.055641,38.94323,4521.3,2.33,4.27,45.1
20200211-18:36:03.451860,-108.158757,39.010417,3086,255.9,244.4,230.3,-108.055643,38.943232,4521.3,2.32,4.27,45.1
20200211-18:36:03.551860,-108.158757,39.010325,3086,257.8,245.1,228.6,-108.055646,38.943234,4521.3,2.32,4.27,45.1
20200211-18:36:03.651860,-108.158665,39.010325,3085,257.3,242.3,227.7,-108.055648,38.943236,4521.3,2.33,4.27,45.1
20200211-18:36:03.751880,-108.158665,39.010232,3085,257.3,243.7,225.2,-108.055651,38.943238,4521.3,2.34,4.28,45.1
20200211-18:36:03.851880,-108.158572,39.010232,3085,256.8,242.2,224,-108.055653,38.943241,4521.3,2.35,4.28,45.1
20200211-18:36:03.951880,-108.15848,39.010139,3084,257.4,242.4,222.2,-108.055656,38.943243,4521.3,2.36,4.28,45.1
20200211-18:36:04.051880,-108.15848,39.010139,3084,255.3,243.4,222.1,-108.055658,38.943245,4521.3,2.36,4.28,45.1
20200211-18:36:04.151880,-108.158387,39.010047,3083,257.2,242,220.9,-108.055661,38.943247,4521.3,2.34,4.28,45.1
20200211-18:36:04.251880,-108.158294,39.010047,3083,256.7,240.8,219.6,-108.055663,38.94325,4521.3,2.34,4.28,45.1
20200211-18:36:04.351880,-108.158294,39.009954,3082,256.1,240.9,220.4,-108.055666,38.943252,4521.3,2.33,4.28,45.1
20200211-18:36:04.451880,-108.158202,39.009954,3082,256.8,239,219,-108.055669,38.943254,4521.3,2.34,4.28,45.1
20200211-18:36:04.551880,-108.158109,39.009954,3082,255.3,240,218.6,-108.055671,38.943256,4521.3,2.34,4.28,45.1
